SpeedLabel 倍速
YScaleLabel 纵向拉伸
BarGapLabel 横线
VBarGapLabel 竖线
NowLineLabel 线号
OtherAlphaLabel 次透明化
CameraPosLabel Camera
PlayViewLabel 播放
PauseViewLabel 停止
JumpViewLabel 跃进
ReplayViewLabel 预览
InfoEditMainLabel 谱面基本信息
OffsetLabel 偏移
BPMEditMainLabel 拍数管理
LineEditMainLabel 判定线管理
MakeCurveMainLabel 填充曲线音符
CheckErrorMainLabel 谱面纠错
ClipBoardMainLabel 历史操作
GenPicMainLabel 生成曲线轨迹
ViewPicMainLabel 配置缩略图
SwitchUILabel 事件视图
CopyLabel 复制
ShearLabel 剪切
PasteLabel 粘贴
MakeChangeLabel 执行
SaveHint0 保存成功
InfoEditLabel 谱面基本信息
NameLabel 谱面名称
LevelLabel 谱面难度
AuthorLabel 作曲者
CharterLabel 谱面设计
NumIdLabel 标识名
OpenLabel 打开文件夹
ConfirmLabel2 保存
CancelLabel 取消
PageUpLabel 上一页
PageDownLabel 下一页
SwitchLabel[0] 音符
SwitchLabel[1] 事件
SwitchLabel[2] 其他
HideWarningLabel 隐藏警告
CheckErrorLabel 谱面纠错
GenCurveLabel 生成曲线轨迹
CurveStLabel 起始时间
CurveEdLabel 结束时间
CurveXLabel X参数方程
CurveYLabel Y参数方程
XtLabel X侧时间缓动
YtLabel Y侧时间缓动
ConfirmLabel 生成
rhoLabel 密度
dirLabel 角度方程（可选）
BPMLabel 基础BPM
DeleteWord 确认删除谱面
ExportLabel 已导出到
AddChartLabel 添加谱面
EditChartLabel 编辑
DeleteChartLabel 删除
ImportChartLabel 导入谱面
ExportChartLabel 导出谱面
EnterLabel 进入
UploadLabel 上传谱面
ShopLabel 在线谱面
confirmlabel3 确认
cancellabel3 取消
lineNumLabel 基础线数

ChangeKeepLabel 放置
KeepFakeLabel 假音符
KeepDownLabel 反向音符
KeepSpeedLabel 速度
KeepOffsetLabel y轴偏移
KeepSizeLabel 宽度
KeepTimeLabel 可视时间
KeepAlphaLabel 透明度

BPMEditLabel 拍数管理
BPMStartLabel 开始时刻
BPMValueLabel 每分钟拍数
BPMAddLabel 添加
BPMClearLabel 清空

EditHistoryLabel 操作序列查看
ConfirmLabel4 重做
CancelLabel4 撤销

InfoEditLabel1 单个音符编辑
time1Label 起始时间
time2Label 结束时间
xLabel X坐标
vLabel 速度
posLabel 下落朝向
yLabel Y值偏移
fakeLabel 真值
sizeLabel 宽度
showLabel 可视时间/秒
alLabel 透明度
DeleteLabel5 删除
ConfirmLabel5 保存
CancelLabel5 取消
SaveHintLabel 已保存音符更改

ConfirmLabel6 应用
CancelLabel6 清空
InfoEditLabel2 多音符编辑
dataLabel 数值种类
typeLabel 修改方式
lowLabel 数值下界
upLabel 数值上界
easingLabel1 缓动类型
cycleLabel 周期数列
disturbLabel 扰动

InfoEditLabel3 单个事件编辑
stLabel 起点
edLabel 终点
SaveHintLabel2 已保存事件更改
lockedlabel 钩定
linkLabel 绑定组
CoverLabel 粘合
SampleLabel 切割
RandLabel 随机
NextLabel 递推
CutLabel 拆分
StickLabel 粘合
SwapLabel 交换
qyLabel 取样

Mutliswitch11 编辑
Mutliswitch12 克隆
LineIdLabel 线号序列
dtLabel 时间增量/横线数
MixLabel1 X上下缓扰
CloneLabel1 X周期数列
MixLabel2 Y上下缓扰
CloneLabel2 Y周期数列
MixLabel3 旋转上下缓扰
CloneLabel3 旋转周期数列
MixLabel4 透明上下缓扰
CloneLabel4 透明周期数列
KeepSourceLabel 保留源

ConfirmCloneLabel 执行
CancelCloneLabel 重置

InfoEditLabel4 多事件编辑
dataLabel2 事件种类
typeLabel2 修改类型
SaveHintLabel3 已应用事件更改

LineEditLabel 判定线管理
BPMStartLabel2 编号
BPMValueLabel2 信息
BPMAddLabel2 添加
LineDeleteLabel 删除
SaveHintLabel4 判定线修改成功
AddGroupLabel 添加组
SwitchLabel1 当前状态
SwitchLabel2 全局状态

MakeCurveLabel 填充曲线音符
CurveLabel1 曲线起点音符
CurveLabel2 曲线终点音符
